"Student.ID","Enrolled.Student.Count"
"8023864","1"
"8024720","1"
"8026176","1"
"8031298","1"
"8034088","1"
"8035324","1"
"8035775","1"
"8035951","1"
"8036132","1"
"8036194","1"
"8036672","1"
"8036698","1"
"8036831","1"
"8036913","1"
"8037690","1"
"8037772","1"
"8038501","1"
"8038521","1"
"8038546","1"
"8038562","1"
"8039444","1"
"8039868","1"
"8040059","1"
"8040075","1"
"8040219","1"
"8040445","1"
"8040552","1"
"8041080","1"
"8041446","1"
"8041624","1"
"8042057","1"
"8043161","1"
"8043208","1"
"8043424","1"
"8043792","1"
"8043826","1"
"8044066","1"
"8044808","1"
"8045712","1"
"8046171","1"
"8046524","1"
"8046613","1"
"8046911","1"
"8047746","1"
"8047893","1"
"8049390","1"
"8049419","1"
"8049767","1"
"8050112","1"
"8050561","1"
"8050565","1"
"8050777","1"
"8050880","1"
"8050882","1"
"8051472","1"
"8051545","1"
"8051960","1"
"8052697","1"
"8053165","1"
"8053497","1"
"8053929","1"
"8054010","1"
"8054660","1"
"8055646","1"
"8055672","1"
"8055733","1"
"8056384","1"
"8056949","1"
"8057083","1"
"8059043","1"
"8059580","1"
"8059728","1"
"8060075","1"
"8060712","1"
"8061238","1"
"8061318","1"
"8061828","1"
"8061848","1"
"8062031","1"
"8062215","1"
"8062572","1"
"8063263","1"
"8063741","1"
"8064301","1"
"8071760","1"
"8071769","1"
"8078285","1"
"8078814","1"
"8079447","1"
"8079808","1"
"8082698","1"
"8084216","1"
"8085468","1"
"8085741","1"
"8088041","1"
"8088162","1"
"8088163","1"
"8088846","1"
"8091615","1"
"8092370","1"
"8093446","1"
"8093858","1"
"8094275","1"
"8094689","1"
"8094793","1"
"8095052","1"
"8096247","1"
"8096785","1"
"8096793","1"
"8097103","1"
"8097201","1"
"8097337","1"
"8097617","1"
"8097917","1"
"8098459","1"
"8098511","1"
"8098637","1"
"8098693","1"
"8098995","1"
"8099721","1"
"8099820","1"
"8100116","1"
"8100342","1"
"8100526","1"
"8100549","1"
"8100919","1"
"8101018","1"
"8101123","1"
"8101143","1"
"8101331","1"
"8101424","1"
"8101439","1"
"8102153","1"
"8102286","1"
"8102295","1"
"8102400","1"
"8102524","1"
"8102798","1"
"8102811","1"
"8102842","1"
"8102851","1"
"8102908","1"
"8103304","1"
"8103469","1"
"8103883","1"
"8103899","1"
"8104179","1"
"8104279","1"
"8104556","1"
"8104584","1"
"8104623","1"
"8104748","1"
"8104808","1"
"8104842","1"
"8104880","1"
"8105202","1"
"8105427","1"
"8105588","1"
"8105593","1"
"8105742","1"
"8105892","1"
"8106266","1"
"8107035","1"
"8107364","1"
"8107379","1"
"8107437","1"
"8107639","1"
"8108201","1"
"8109038","1"
"8109428","1"
"8109574","1"
"8110107","1"
"8110149","1"
"8110213","1"
"8110325","1"
"8111107","1"
"8111944","1"
"8112120","1"
"8112254","1"
"8112451","1"
"8112497","1"
"8112667","1"
"8112942","1"
"8113087","1"
"8113388","1"
"8113623","1"
"8113661","1"
"8113775","1"
"8113883","1"
"8113913","1"
"8113952","1"
"8114030","1"
"8114059","1"
"8114711","1"
"8114906","1"
"8114983","1"
"8115221","1"
"8115233","1"
"8115369","1"
"8115647","1"
"8116045","1"
"8116163","1"
"8116176","1"
"8116670","1"
"8116997","1"
"8117385","1"
"8117466","1"
"8118379","1"
"8119708","1"
"8119865","1"
"8120083","1"
"8121036","1"
"8121360","1"
"8121637","1"
"8124223","1"
"8124641","1"
"8125971","1"
"8126128","1"
"8128246","1"
"8129036","1"
"8129435","1"
"8129482","1"
"8129662","1"
"8130203","1"
"8131023","1"
"8132465","1"
"8132721","1"
"8132821","1"
"8132915","1"
"8134173","1"
"8134369","1"
"8135649","1"
"8136759","1"
"8136901","1"
"8137090","1"
"8137163","1"
"8137508","1"
"8137586","1"
"8139289","1"
"8139377","1"
"8139622","1"
"8140179","1"
"8140245","1"
"8141118","1"
"8141468","1"
"8141755","1"
"8142155","1"
"8142374","1"
"8142423","1"
"8142526","1"
"8142886","1"
"8143408","1"
"8143418","1"
"8143420","1"
"8143472","1"
"8143654","1"
"8143798","1"
"8143860","1"
"8143934","1"
"8143936","1"
"8144647","1"
"8144902","1"
"8144914","1"
"8144995","1"
"8145217","1"
"8145325","1"
"8145502","1"
"8145508","1"
"8145611","1"
"8145766","1"
"8145786","1"
"8146057","1"
"8146177","1"
"8146225","1"
"8146244","1"
"8146525","1"
"8146560","1"
"8146723","1"
"8147231","1"
"8147335","1"
"8147369","1"
"8147431","1"
"8147458","1"
"8147889","1"
"8147973","1"
"8148045","1"
"8148167","1"
"8148469","1"
"8148923","1"
"8149274","1"
"8149335","1"
"8149556","1"
"8150970","1"
"8151012","1"
"8151086","1"
"8151107","1"
"8151305","1"
"8151587","1"
"8151654","1"
"8152069","1"
"8152289","1"
"8152321","1"
"8152659","1"
"8152662","1"
"8153125","1"
"8153342","1"
"8153377","1"
"8153542","1"
"8154142","1"
"8154259","1"
"8154315","1"
"8154337","1"
"8160801","1"
"8160820","1"
"8161085","1"
"8161157","1"
"8161399","1"
"8161439","1"
"8161724","1"
"8161990","1"
"8162016","1"
"8162164","1"
"8162281","1"
"8162853","1"
"8162901","1"
"8162906","1"
"8163008","1"
"8163086","1"
"8163102","1"
"8163147","1"
"8163195","1"
"8163233","1"
"8163250","1"
"8163402","1"
"8163696","1"
"8163731","1"
"8163855","1"
"8163909","1"
"8164025","1"
"8164180","1"
"8164296","1"
"8164571","1"
"8164864","1"
"8164883","1"
"8164912","1"
"8165255","1"
"8165872","1"
"8166070","1"
"8166091","1"
"8166116","1"
"8166267","1"
"8166844","1"
"8166978","1"
"8167256","1"
"8167504","1"
"8167563","1"
"8167567","1"
"8167996","1"
"8168302","1"
"8168593","1"
"8168703","1"
"8168751","1"
"8169012","1"
"8169051","1"
"8171318","1"
"8171610","1"
"8174326","1"
"8176990","1"
"8177425","1"
"8178743","1"
"8178847","1"
"8181140","1"
"8181775","1"
"8181895","1"
"8182276","1"
"8182483","1"
"8183119","1"
"8183242","1"
"8183371","1"
"8183546","1"
"8183549","1"
"8183672","1"
"8184225","1"
"8184292","1"
"8184322","1"
"8184369","1"
"8185177","1"
"8185334","1"
"8185381","1"
"8185825","1"
"8186192","1"
"8186376","1"
"8186466","1"
"8186627","1"
"8187393","1"
"8187578","1"
"8187727","1"
"8188147","1"
"8188159","1"
"8188216","1"
"8188286","1"
"8188376","1"
"8188396","1"
"8189088","1"
"8189159","1"
"8189574","1"
"8189686","1"
"8189730","1"
"8189864","1"
"8189891","1"
"8190065","1"
"8190111","1"
"8190575","1"
"8190708","1"
"8190918","1"
"8191039","1"
"8191163","1"
"8191209","1"
"8191401","1"
"8191431","1"
"8191448","1"
"8191595","1"
"8191633","1"
"8191653","1"
"8191700","1"
"8191862","1"
"8191921","1"
"8191938","1"
"8192388","1"
"8192462","1"
"8192597","1"
"8192653","1"
"8192696","1"
"8192894","1"
"8192960","1"
"8192966","1"
"8193010","1"
"8193320","1"
"8193405","1"
"8193409","1"
"8193507","1"
"8193533","1"
"8193928","1"
"8193985","1"
"8194047","1"
"8194129","1"
"8194253","1"
"8194395","1"
"8194432","1"
"8194665","1"
"8194805","1"
"8195074","1"
"8195115","1"
"8195153","1"
"8195158","1"
"8195188","1"
"8195281","1"
"8195689","1"
"8195899","1"
"8195925","1"
"8196046","1"
"8196844","1"
"8196920","1"
"8197080","1"
"8197429","1"
"8197493","1"
"8197967","1"
"8198301","1"
"8198848","1"
"8199244","1"
"8199396","1"
"8199444","1"
"8199524","1"
"8199879","1"
"8199970","1"
"8200504","1"
"8200777","1"
"8201100","1"
"8201347","1"
"8201387","1"
"8201493","1"
"8201706","1"
"8201733","1"
"8202241","1"
"8202349","1"
"8202613","1"
"8202624","1"
"8202719","1"
"8202810","1"
"8203289","1"
"8203348","1"
"8203595","1"
"8203607","1"
"8204022","1"
"8204070","1"
"8204130","1"
"8204447","1"
"8204564","1"
"8204994","1"
"8205151","1"
"8205333","1"
"8205394","1"
"8205678","1"
"8205734","1"
"8205784","1"
"8206209","1"
"8206323","1"
"8206374","1"
"8206527","1"
"8206589","1"
"8206673","1"
"8207056","1"
"8208062","1"
"8208211","1"
"8216877","1"
"8216939","1"
"8216970","1"
"8217036","1"
"8217044","1"
"8218436","1"
"8221753","1"
"8224982","1"
"8226333","1"
"8226483","1"
"8226632","1"
"8228733","1"
"8228925","1"
"8229824","1"
"8229869","1"
"8229976","1"
"8230735","1"
"8230745","1"
"8231106","1"
"8231117","1"
"8231449","1"
"8232226","1"
"8232533","1"
"8233278","1"
"8233829","1"
"8233844","1"
"8233854","1"
"8235522","1"
"8235926","1"
"8236003","1"
"8236114","1"
"8236405","1"
"8236496","1"
"8236572","1"
"8237593","1"
"8237729","1"
"8237792","1"
"8237816","1"
"8237939","1"
"8237988","1"
"8238764","1"
"8238809","1"
"8238895","1"
"8239036","1"
"8239451","1"
"8240091","1"
"8240124","1"
"8241122","1"
"8241959","1"
"8242001","1"
"8242136","1"
"8242848","1"
"8242896","1"
"8243232","1"
"8243561","1"
"8243761","1"
"8245499","1"
"8245502","1"
"8246329","1"
"8246520","1"
"8246894","1"
"8246913","1"
"8247640","1"
"8248087","1"
"8248246","1"
"8248382","1"
"8248778","1"
"8249032","1"
"8249462","1"
"8249700","1"
"8250686","1"
"8251048","1"
"8251072","1"
"8251114","1"
"8251501","1"
"8260957","1"
"8261450","1"
"8262661","1"
"8263482","1"
"8264086","1"
"8264603","1"
"8265510","1"
"8266656","1"
"8268360","1"
"8273273","1"
"8274007","1"
"8274526","1"
"8275768","1"
"8275990","1"
"8276788","1"
"8276875","1"
"8276925","1"
"8277031","1"
"8277355","1"
"8277469","1"
"8278735","1"
"8278739","1"
"8279077","1"
"8279285","1"
"8279703","1"
"8280063","1"
"8280174","1"
"8280433","1"
"8280700","1"
"8281275","1"
"8281767","1"
"8281982","1"
"8282747","1"
"8282974","1"
"8283170","1"
"8283359","1"
"8283387","1"
"8284065","1"
"8284203","1"
"8284510","1"
"8284604","1"
"8284681","1"
"8285262","1"
"8285592","1"
"8286290","1"
"8286362","1"
"8286386","1"
"8286870","1"
"8287137","1"
"8287192","1"
"8287397","1"
"8287473","1"
"8287518","1"
"8287549","1"
"8288226","1"
"8288383","1"
"8288701","1"
"8289349","1"
"8289645","1"
"8289763","1"
"8289855","1"
"8290249","1"
"8290276","1"
"8290339","1"
"8290855","1"
"8291190","1"
"8291384","1"
"8291591","1"
"8292332","1"
"8292442","1"
"8292446","1"
"8293553","1"
"8293617","1"
"8293789","1"
"8293990","1"
"8294257","1"
"8294329","1"
"8294533","1"
"8294677","1"
"8294785","1"
"8295097","1"
"8295458","1"
"8295572","1"
"8295624","1"
"8296019","1"
"8296091","1"
"8304284","1"
"8304959","1"
"8305176","1"
"8305468","1"
"8305795","1"
"8309047","1"
"8309126","1"
"8311146","1"
"8311871","1"
"8313151","1"
"8313455","1"
"8314453","1"
"8314754","1"
"8315620","1"
"8317414","1"
"8317791","1"
"8318030","1"
"8318744","1"
"8319115","1"
"8319933","1"
"8320803","1"
"8321660","1"
"8321894","1"
"8323387","1"
"8323830","1"
"8324656","1"
"8325028","1"
"8325151","1"
"8325515","1"
"8326128","1"
"8326382","1"
"8327017","1"
"8327627","1"
"8328843","1"
"8328875","1"
"8329214","1"
"8329631","1"
"8330104","1"
"8330667","1"
"8332131","1"
"8332243","1"
"8332399","1"
"8332566","1"
"8332809","1"
"8332899","1"
"8332921","1"
"8333381","1"
"8333453","1"
"8333646","1"
"8334557","1"
"8335143","1"
"8336578","1"
"8338269","1"
"8338485","1"
"8338893","1"
"8339022","1"
"8339335","1"
"8339550","1"
"8339919","1"
"8340310","1"
"8340355","1"
"8340511","1"
"8340526","1"
"8342493","1"
"8350002","1"
"8350888","1"
"8351630","1"
"8354482","1"
"8354519","1"
"8355890","1"
"8357001","1"
"8358602","1"
"8359278","1"
"8359870","1"
"8362430","1"
"8364375","1"
"8365108","1"
"8365422","1"
"8365711","1"
"8366174","1"
"8366385","1"
"8366918","1"
"8367035","1"
"8367545","1"
"8367894","1"
"8367944","1"
"8367955","1"
"8368057","1"
"8368109","1"
"8368121","1"
"8368719","1"
"8369044","1"
"8369067","1"
"8369564","1"
"8370335","1"
"8370460","1"
"8371569","1"
"8371719","1"
"8371741","1"
"8372215","1"
"8372318","1"
"8372669","1"
"8372995","1"
"8373328","1"
"8373418","1"
"8373628","1"
"8373905","1"
"8374059","1"
"8375640","1"
"8376010","1"
"8376089","1"
"8377320","1"
"8377418","1"
"8377632","1"
"8377653","1"
"8378332","1"
"8379553","1"
"8379931","1"
"8380034","1"
"8380912","1"
"8381137","1"
"8381513","1"
"8381924","1"
"8382026","1"
"8382476","1"
"8382573","1"
"8382893","1"
"8383258","1"
"8383490","1"
"8383906","1"
"8384345","1"
"8384407","1"
"8384659","1"
"8385193","1"
"8385483","1"
"8385730","1"
"8386138","1"
"8386377","1"
"8388086","1"
"8388254","1"
"8388320","1"
"8389082","1"
"8389477","1"
"8397628","1"
"8398101","1"
"8398122","1"
"8398216","1"
"8398224","1"
"8398240","1"
"8398291","1"
"8398303","1"
"8398361","1"
"8398381","1"
"8401257","1"
"8429284","1"
"8458965","1"
"8476995","1"
"8521298","1"
"8521862","1"
"Grand Total","834"
NA,NA
NA,"Cohort Academic Year Number is greater than or equal to 2018"
"and","Cohort Semester Name is equal to / is in Fall"
"and","Case When Majors and Concentrations.""Major""= 'Business Analytics' And Concentrations and Thematic Sequences.""Concentration"" = 'Basic Program (no submajor)' Then 'BA Major' When Majors and Concentrations.""Major"" = 'Analytics' And Concentrations and... is equal to / is in BA Major"
"8098858","1"
"8108061","1"
"8109444","1"
"8110017","1"
"8113940","1"
"8115814","1"
"8118995","1"
"8119866","1"
"8125309","1"
"8144976","1"
"8149309","1"
"8151695","1"
"8152749","1"
"8160693","1"
"8166210","1"
"8183049","1"
"8183142","1"
"8185339","1"
"8188789","1"
"8189765","1"
"8190053","1"
"8190645","1"
"8190732","1"
"8193517","1"
"8194067","1"
"8194429","1"
"8196411","1"
"8197248","1"
"8197334","1"
"8198622","1"
"8200937","1"
"8201508","1"
"8201904","1"
"8203154","1"
"8203997","1"
"8204796","1"
"8205621","1"
"8205774","1"
"8206175","1"
"8207043","1"
"8218558","1"
"8223835","1"
"8225982","1"
"8226272","1"
"8226515","1"
"8226542","1"
"8230669","1"
"8231350","1"
"8231569","1"
"8231842","1"
"8232786","1"
"8233515","1"
"8234195","1"
"8235359","1"
"8235554","1"
"8235697","1"
"8236079","1"
"8237411","1"
"8238330","1"
"8239231","1"
"8239643","1"
"8240060","1"
"8240157","1"
"8242006","1"
"8242443","1"
"8243519","1"
"8243906","1"
"8245801","1"
"8246688","1"
"8246861","1"
"8246891","1"
"8249408","1"
"8250961","1"
"8251247","1"
"8260919","1"
"8262583","1"
"8265341","1"
"8269664","1"
"8270244","1"
"8270285","1"
"8271899","1"
"8272073","1"
"8272715","1"
"8273135","1"
"8275281","1"
"8278406","1"
"8279029","1"
"8279045","1"
"8279722","1"
"8280089","1"
"8281486","1"
"8282676","1"
"8282692","1"
"8283222","1"
"8283990","1"
"8285702","1"
"8285798","1"
"8287228","1"
"8287451","1"
"8288224","1"
"8288743","1"
"8288840","1"
"8289212","1"
"8289532","1"
"8289912","1"
"8290156","1"
"8290344","1"
"8290581","1"
"8290744","1"
"8291186","1"
"8291683","1"
"8291791","1"
"8292025","1"
"8293283","1"
"8294324","1"
"8294574","1"
"8294890","1"
"8295277","1"
"8295511","1"
"8308960","1"
"8309076","1"
"8311225","1"
"8316012","1"
"8317382","1"
"8318800","1"
"8319253","1"
"8320580","1"
"8323169","1"
"8324729","1"
"8325776","1"
"8327105","1"
"8327670","1"
"8329475","1"
"8329675","1"
"8330331","1"
"8331244","1"
"8331618","1"
"8331743","1"
"8333235","1"
"8333444","1"
"8333498","1"
"8334152","1"
"8334506","1"
"8334898","1"
"8335099","1"
"8336051","1"
"8336139","1"
"8336655","1"
"8336766","1"
"8336795","1"
"8338465","1"
"8341263","1"
"8341458","1"
"8351487","1"
"8364032","1"
"8365162","1"
"8368925","1"
"8369263","1"
"8369816","1"
"8370493","1"
"8371019","1"
"8372734","1"
"8372868","1"
"8373123","1"
"8373893","1"
"8377224","1"
"8377378","1"
"8378080","1"
"8378360","1"
"8379005","1"
"8379300","1"
"8379976","1"
"8383536","1"
"8384327","1"
"8384480","1"
"8385582","1"
"8385894","1"
"8386140","1"
"8386564","1"
"8387041","1"
"8387094","1"
"8387197","1"
"8387363","1"
"8389050","1"
"8389212","1"
"8398087","1"
"8398165","1"
"8398329","1"
"8398877","1"
"8425267","1"
"9885956","1"
"Grand Total","237"
"and","Case When Majors and Concentrations.""Major""= 'Business Analytics' And Concentrations and Thematic Sequences.""Concentration"" = 'Basic Program (no submajor)' Then 'BA Major' When Majors and Concentrations.""Major"" = 'Analytics' And Concentrations and... is equal to / is in IS Major"
