"Student.ID","Term.Code","Term.UG.MU.Earned.CrHr","Term.UG.Overall.Earned.CrHr.(MU.and.Non-MU)","Cum.UG.Overall.Earned.CrHr.(MU.and.Non-MU)"
"8098858","202410",16,16,16
"8098858","202420",15,15,31
"8108061","202410",15,39,39
"8108061","202420",14,14,53
"8108061","202510",NA,NA,53
"8109444","202410",15,53,53
"8109444","202420",17,17,70
"8109444","202510",NA,NA,70
"8110017","202410",16,16,16
"8110017","202420",14,14,30
"8110017","202510",NA,NA,30
"8113940","202410",14,27,27
"8113940","202420",17,17,44
"8113940","202510",NA,NA,44
"8115814","202410",17,17,17
"8115814","202420",15,15,32
"8115814","202510",NA,NA,32
"8118995","202410",15,40,40
"8118995","202420",16,16,56
"8118995","202510",NA,NA,56
"8118995","202520",NA,NA,56
"8119866","202410",15,38,38
"8119866","202420",15,15,53
"8119866","202510",NA,NA,53
"8125309","202230",3,3,3
"8125309","202410",15,36,39
"8125309","202420",14,14,53
"8125309","202510",NA,NA,53
"8125309","202520",NA,NA,53
"8132821","202310",15,39,39
"8132821","202320",15,15,54
"8132821","202410",15,15,69
"8136759","202310",17,36,36
"8136759","202320",19,19,55
"8136759","202410",15,15,70
"8136759","202420",15,15,85
"8136759","202510",NA,NA,85
"8136759","202515",NA,NA,85
"8136759","202520",NA,NA,85
"8144976","202310",15,32,32
"8144976","202320",16,16,48
"8144976","202410",15,15,63
"8144976","202420",15,15,78
"8144976","202510",NA,NA,78
"8144976","202520",NA,NA,78
"8147231","202310",16,53,53
"8147231","202320",15,15,68
"8147231","202410",15,15,83
"8147231","202420",15,15,98
"8147231","202510",NA,NA,98
"8149309","202310",16,25,25
"8149309","202320",16,16,41
"8149309","202410",13,13,54
"8149309","202420",15,15,69
"8149309","202510",NA,NA,69
"8151695","202310",15,42,42
"8151695","202320",13,13,55
"8151695","202330",3,3,58
"8151695","202410",15,15,73
"8151695","202420",17,17,90
"8151695","202510",NA,NA,90
"8151695","202515",NA,NA,90
"8152749","202310",16,16,16
"8152749","202320",15,15,31
"8152749","202410",15,15,46
"8152749","202420",14,14,60
"8152749","202510",2,2,62
"8160693","202310",15,24,24
"8160693","202320",14,14,38
"8160693","202410",13,13,51
"8160693","202420",15,15,66
"8160693","202510",NA,NA,66
"8166210","202310",16,29,29
"8166210","202320",16,16,45
"8166210","202330",6,6,51
"8166210","202410",16,16,67
"8166210","202415",3,3,70
"8166210","202420",15,15,85
"8166210","202510",NA,NA,85
"8183049","202210",15,64,64
"8183049","202220",15,15,79
"8183049","202310",15,15,94
"8183049","202330",9,9,103
"8183049","202410",15,15,118
"8183049","202420",16,16,134
"8183049","202510",NA,NA,134
"8183142","202210",10,20,20
"8183142","202220",17,17,37
"8183142","202230",3,3,40
"8183142","202310",15,15,55
"8183142","202320",14,14,69
"8183142","202410",15,15,84
"8183142","202420",15,15,99
"8183142","202430",6,6,105
"8183142","202510",NA,NA,105
"8185339","202210",18,44,44
"8185339","202220",19,19,63
"8185339","202310",18,18,81
"8185339","202320",15,15,96
"8185339","202330",6,6,102
"8185339","202410",15,15,117
"8185339","202420",18,18,135
"8185339","202510",NA,NA,135
"8188789","202210",12,27,27
"8188789","202220",15,15,42
"8188789","202310",12,12,54
"8188789","202315",3,3,57
"8188789","202320",12,12,69
"8188789","202410",12,17,86
"8188789","202415",3,3,89
"8188789","202420",10,10,99
"8188789","202510",NA,NA,99
"8189765","202210",12,36,36
"8189765","202220",16,16,52
"8189765","202310",15,15,67
"8189765","202320",12,12,79
"8189765","202410",15,15,94
"8189765","202420",12,12,106
"8189765","202510",NA,NA,106
"8190053","202310",16,70,70
"8190053","202315",3,3,73
"8190053","202320",13,13,86
"8190053","202410",12,12,98
"8190053","202415",6,6,104
"8190053","202420",12,12,116
"8190053","202430",6,6,122
"8190053","202510",NA,NA,122
"8190053","202515",NA,NA,122
"8190645","202210",16,27,27
"8190645","202220",17,17,44
"8190645","202310",16,16,60
"8190645","202320",15,15,75
"8190645","202410",16,16,91
"8190645","202420",16,16,107
"8190645","202510",NA,NA,107
"8190732","202210",19,51,51
"8190732","202220",17,17,68
"8190732","202310",12,12,80
"8190732","202320",15,15,95
"8190732","202410",15,15,110
"8190732","202420",14,14,124
"8190732","202510",NA,NA,124
"8190732","202515",NA,NA,124
"8193517","202210",15,49,49
"8193517","202220",15,15,64
"8193517","202310",19,19,83
"8193517","202320",20,20,103
"8193517","202410",20,20,123
"8193517","202420",18,18,141
"8193517","202510",NA,NA,141
"8194067","202210",15,24,24
"8194067","202220",15,15,39
"8194067","202310",15,15,54
"8194067","202320",12,12,66
"8194067","202330",3,3,69
"8194067","202410",0,15,84
"8194067","202420",18,18,102
"8194067","202510",NA,NA,102
"8194253","202210",17,62,62
"8194253","202215",4,4,66
"8194253","202220",18,18,84
"8194253","202310",18,18,102
"8194253","202315",3,3,105
"8194253","202320",NA,NA,105
"8194253","202410",19,19,124
"8194253","202420",15,15,139
"8194253","202510",NA,NA,139
"8194429","202210",15,24,24
"8194429","202220",14,14,38
"8194429","202310",15,15,53
"8194429","202320",16,16,69
"8194429","202410",17,17,86
"8194429","202420",15,15,101
"8194429","202510",NA,NA,101
"8196411","202210",15,37,37
"8196411","202215",3,3,40
"8196411","202220",12,12,52
"8196411","202310",15,15,67
"8196411","202315",3,3,70
"8196411","202320",15,15,85
"8196411","202410",0,16,101
"8196411","202420",12,12,113
"8196411","202510",NA,NA,113
"8197248","202210",12,32,32
"8197248","202220",13,13,45
"8197248","202310",12,12,57
"8197248","202320",15,15,72
"8197248","202410",12,12,84
"8197248","202420",0,15,99
"8197248","202510",NA,NA,99
"8197334","202210",16,40,40
"8197334","202220",15,15,55
"8197334","202310",17,17,72
"8197334","202320",15,15,87
"8197334","202410",16,16,103
"8197334","202420",15,15,118
"8197334","202510",NA,NA,118
"8197334","202515",NA,NA,118
"8198622","202210",15,57,57
"8198622","202220",15,15,72
"8198622","202310",15,15,87
"8198622","202320",16,16,103
"8198622","202410",15,15,118
"8198622","202420",15,15,133
"8198622","202430",0,0,133
"8198622","202510",0,0,133
"8200937","202210",12,12,12
"8200937","202220",16,16,28
"8200937","202310",16,16,44
"8200937","202320",15,15,59
"8200937","202410",15,15,74
"8200937","202420",15,15,89
"8200937","202510",NA,NA,89
"8200937","202515",NA,NA,89
"8201100","202210",15,15,15
"8201100","202215",3,3,18
"8201100","202220",15,15,33
"8201100","202310",16,16,49
"8201100","202320",15,15,64
"8201100","202410",18,18,82
"8201100","202415",6,6,88
"8201100","202420",15,15,103
"8201100","202510",NA,NA,103
"8201508","202210",17,29,29
"8201508","202215",3,3,32
"8201508","202220",17,17,49
"8201508","202230",3,3,52
"8201508","202310",15,15,67
"8201508","202315",3,3,70
"8201508","202320",15,15,85
"8201508","202410",15,15,100
"8201508","202415",0,3,103
"8201508","202420",17,17,120
"8201508","202510",NA,NA,120
"8201904","202210",12,59,59
"8201904","202220",7,7,66
"8201904","202310",9,9,75
"8201904","202320",12,12,87
"8201904","202330",3,3,90
"8201904","202410",14,14,104
"8201904","202415",6,6,110
"8201904","202420",15,15,125
"8201904","202510",NA,NA,125
"8201904","202515",NA,NA,125
"8203154","202210",19,69,69
"8203154","202220",19,19,88
"8203154","202230",3,3,91
"8203154","202310",18,18,109
"8203154","202315",3,3,112
"8203154","202320",15,15,127
"8203154","202330",3,3,130
"8203154","202410",17,17,147
"8203154","202415",3,3,150
"8203154","202420",13,13,163
"8203154","202430",3,3,166
"8203154","202510",NA,NA,166
"8203997","202210",15,29,29
"8203997","202220",15,15,44
"8203997","202310",15,15,59
"8203997","202320",16,16,75
"8203997","202410",15,15,90
"8203997","202420",15,15,105
"8203997","202430",3,3,108
"8203997","202510",NA,NA,108
"8204070","202210",16,19,19
"8204070","202220",17,17,36
"8204070","202310",18,18,54
"8204070","202320",0,16,70
"8204070","202410",15,15,85
"8204070","202420",15,15,100
"8204070","202510",NA,NA,100
"8204796","202210",12,12,12
"8204796","202215",6,6,18
"8204796","202220",12,12,30
"8204796","202230",6,6,36
"8204796","202310",17,17,53
"8204796","202315",3,3,56
"8204796","202320",18,18,74
"8204796","202330",5,5,79
"8204796","202410",15,15,94
"8204796","202415",6,6,100
"8204796","202420",16,16,116
"8204796","202430",5,5,121
"8204796","202510",NA,NA,121
"8205621","202210",17,59,59
"8205621","202220",16,16,75
"8205621","202310",15,15,90
"8205621","202320",18,18,108
"8205621","202410",18,18,126
"8205621","202420",18,18,144
"8205621","202510",NA,NA,144
"8205774","202210",17,37,37
"8205774","202220",16,16,53
"8205774","202310",15,15,68
"8205774","202320",15,15,83
"8205774","202410",15,15,98
"8205774","202415",3,3,101
"8205774","202420",17,17,118
"8205774","202510",NA,NA,118
"8206175","202210",12,17,17
"8206175","202215",3,3,20
"8206175","202220",14,14,34
"8206175","202310",14,14,48
"8206175","202320",12,12,60
"8206175","202330",4,4,64
"8206175","202410",15,15,79
"8206175","202420",12,12,91
"8206175","202510",NA,NA,91
"8206175","202515",NA,NA,91
"8206175","202520",NA,NA,91
"8207043","202210",15,15,15
"8207043","202220",16,16,31
"8207043","202310",17,17,48
"8207043","202320",17,17,65
"8207043","202410",17,17,82
"8207043","202420",0,16,98
"8207043","202510",NA,NA,98
"8208211","202210",17,61,61
"8208211","202220",12,12,73
"8208211","202310",15,15,88
"8208211","202320",16,16,104
"8208211","202410",15,15,119
"8208211","202415",6,6,125
"8208211","202420",15,15,140
"8208211","202510",NA,NA,140
"8218558","202210",16,60,60
"8218558","202215",3,3,63
"8218558","202220",16,16,79
"8218558","202230",6,6,85
"8218558","202310",12,12,97
"8218558","202315",3,3,100
"8218558","202320",12,12,112
"8218558","202410",12,12,124
"8218558","202415",3,3,127
"8218558","202420",12,12,139
"8218558","202430",3,3,142
"8218558","202510",0,0,142
"8223835","202110",15,22,22
"8223835","202120",16,16,38
"8223835","202210",15,15,53
"8223835","202220",17,17,70
"8223835","202310",15,15,85
"8223835","202320",16,16,101
"8223835","202410",15,15,116
"8223835","202420",15,15,131
"8225982","202210",13,36,36
"8225982","202215",3,3,39
"8225982","202220",18,18,57
"8226272","202110",15,37,37
"8226272","202120",17,17,54
"8226272","202210",15,15,69
"8226272","202220",16,16,85
"8226272","202310",16,16,101
"8226272","202320",16,16,117
"8226272","202410",16,16,133
"8226272","202420",17,17,150
"8226515","202110",12,12,12
"8226515","202120",12,12,24
"8226515","202210",9,9,33
"8226515","202220",9,9,42
"8226515","202230",3,3,45
"8226515","202310",10,10,55
"8226515","202410",18,18,73
"8226515","202420",17,17,90
"8226515","202430",7,7,97
"8226515","202510",0,0,97
"8226542","202110",17,35,35
"8226542","202120",15,15,50
"8226542","202210",15,15,65
"8226542","202220",16,16,81
"8226542","202310",15,15,96
"8226542","202320",15,15,111
"8226542","202410",12,12,123
"8226542","202420",15,15,138
"8230669","202110",16,16,16
"8230669","202120",15,15,31
"8230669","202210",16,16,47
"8230669","202220",15,15,62
"8230669","202230",14,14,76
"8230669","202310",15,15,91
"8230669","202320",18,18,109
"8230669","202330",6,6,115
"8230669","202410",18,18,133
"8230669","202420",19,19,152
"8230735","202110",12,18,18
"8230735","202120",20,20,38
"8230735","202210",20,20,58
"8230735","202220",16,16,74
"8230735","202310",18,18,92
"8230735","202320",18,18,110
"8230735","202410",18,18,128
"8230735","202420",12,12,140
"8231350","202110",15,15,15
"8231350","202120",16,20,35
"8231350","202210",20,20,55
"8231350","202215",3,3,58
"8231350","202220",15,15,73
"8231350","202230",3,3,76
"8231350","202310",16,16,92
"8231350","202315",6,6,98
"8231350","202320",15,15,113
"8231350","202410",15,15,128
"8231350","202420",16,16,144
"8231569","202110",10,18,18
"8231569","202120",6,12,30
"8231569","202210",12,12,42
"8231569","202220",6,6,48
"8231569","202310",9,9,57
"8231569","202315",3,3,60
"8231569","202320",9,9,69
"8231569","202410",13,16,85
"8231569","202415",6,6,91
"8231569","202420",13,16,107
"8231842","202110",15,18,18
"8231842","202120",15,15,33
"8231842","202210",15,15,48
"8231842","202220",9,9,57
"8231842","202230",3,3,60
"8231842","202310",15,15,75
"8231842","202320",12,12,87
"8231842","202410",15,15,102
"8231842","202415",5,5,107
"8231842","202420",17,17,124
"8232786","202110",12,15,15
"8232786","202120",16,16,31
"8232786","202210",15,15,46
"8232786","202220",15,15,61
"8232786","202310",15,15,76
"8232786","202320",14,14,90
"8232786","202410",14,14,104
"8232786","202420",15,15,119
"8233515","202110",17,17,17
"8233515","202120",15.5,15.5,32.5
"8233515","202210",15,15,47.5
"8233515","202220",15,15,62.5
"8233515","202310",15,15,77.5
"8233515","202320",15,15,92.5
"8233515","202330",3,6,98.5
"8233515","202410",15,15,113.5
"8233515","202420",15,15,128.5
"8233844","202110",15,34,34
"8233844","202120",15,15,49
"8233844","202210",15,15,64
"8233844","202220",18,18,82
"8233844","202310",15,15,97
"8233844","202320",15,15,112
"8233844","202410",16,16,128
"8233844","202420",12,12,140
"8234195","202110",15,24,24
"8234195","202120",15,15,39
"8234195","202210",13,13,52
"8234195","202220",16,16,68
"8234195","202310",15,15,83
"8234195","202320",15,15,98
"8234195","202410",15,15,113
"8234195","202420",16,16,129
"8235359","202110",15,18,18
"8235359","202120",17,17,35
"8235359","202210",15,15,50
"8235359","202220",14,14,64
"8235359","202310",16,16,80
"8235359","202315",6,6,86
"8235359","202320",12,12,98
"8235359","202330",3,3,101
"8235359","202410",12,12,113
"8235359","202420",12,12,125
"8235554","202110",16,16,16
"8235554","202120",14,14,30
"8235554","202210",15,15,45
"8235554","202220",9,9,54
"8235554","202310",17,17,71
"8235554","202320",0,16,87
"8235554","202410",18,21,108
"8235554","202420",16,16,124
"8235697","202110",15,22,22
"8235697","202120",16,16,38
"8235697","202210",15,15,53
"8235697","202220",16,16,69
"8235697","202310",15,15,84
"8235697","202315",3,3,87
"8235697","202320",15,15,102
"8235697","202410",12,12,114
"8235697","202420",12,12,126
"8235926","202110",15,15,15
"8235926","202120",14,14,29
"8235926","202210",15,15,44
"8235926","202220",15,15,59
"8235926","202310",15,15,74
"8235926","202320",15,15,89
"8235926","202410",12,12,101
"8235926","202415",3,3,104
"8235926","202420",15,15,119
"8236079","202110",15,49,49
"8236079","202120",16,16,65
"8236079","202210",16,16,81
"8236079","202220",15,15,96
"8236079","202310",15,15,111
"8236079","202320",16,16,127
"8236079","202410",0,0,127
"8236079","202415",0,0,127
"8236079","202420",0,0,127
"8237411","202110",16,22,22
"8237411","202120",17,17,39
"8237411","202210",12,12,51
"8237411","202220",15,15,66
"8237411","202310",15,15,81
"8237411","202315",6,6,87
"8237411","202320",12,12,99
"8237411","202410",13,13,112
"8237411","202420",13,13,125
"8238330","202110",15,35,35
"8238330","202115",3,3,38
"8238330","202120",16,16,54
"8238330","202210",15,15,69
"8238330","202215",3,3,72
"8238330","202220",15,15,87
"8238330","202230",3,3,90
"8238330","202310",15,15,105
"8238330","202315",6,6,111
"8238330","202320",12,12,123
"8238330","202410",12,12,135
"8238330","202415",3,3,138
"8238330","202420",12,12,150
"8239231","202110",16,38,38
"8239231","202120",15,15,53
"8239231","202210",12,12,65
"8239231","202310",16,16,81
"8239231","202320",15,15,96
"8239231","202410",18,18,114
"8239231","202415",6,6,120
"8239231","202420",15,15,135
"8239643","202110",16,37,37
"8239643","202120",15,15,52
"8239643","202210",15,15,67
"8239643","202220",15,15,82
"8239643","202310",15,15,97
"8239643","202315",6,6,103
"8239643","202320",15,15,118
"8239643","202410",3,3,121
"8239643","202415",0,0,121
"8239643","202420",0,0,121
"8240060","202110",15,39,39
"8240060","202120",16,16,55
"8240060","202210",17,17,72
"8240060","202220",15,15,87
"8240060","202310",15,15,102
"8240060","202320",0,12,114
"8240060","202410",15,15,129
"8240060","202420",12,12,141
"8240157","202110",15,38,38
"8240157","202120",16,16,54
"8240157","202210",16,16,70
"8240157","202220",15,15,85
"8240157","202310",15,15,100
"8240157","202315",6,6,106
"8240157","202320",15,15,121
"8240157","202410",14.5,14.5,135.5
"8240157","202420",14,14,149.5
"8242006","202110",17,52,52
"8242006","202120",12,12,64
"8242006","202130",3,3,67
"8242006","202210",15,15,82
"8242006","202220",17,17,99
"8242006","202310",15,15,114
"8242006","202320",15,15,129
"8242006","202410",15,15,144
"8242006","202420",15,15,159
"8242443","202110",17,45,45
"8242443","202120",16,16,61
"8242443","202130",3,3,64
"8242443","202210",17,17,81
"8242443","202220",16,16,97
"8242443","202310",15,15,112
"8242443","202320",12,12,124
"8242443","202410",9,9,133
"8242443","202420",12,12,145
"8243519","202110",12,29,29
"8243519","202120",15,15,44
"8243519","202210",16,16,60
"8243519","202220",15,15,75
"8243519","202310",15,15,90
"8243519","202320",17,17,107
"8243519","202410",17,17,124
"8243519","202415",3,3,127
"8243519","202420",17,17,144
"8243906","202110",15,15,15
"8243906","202120",17,17,32
"8243906","202210",16,16,48
"8243906","202220",15,15,63
"8243906","202310",18,18,81
"8243906","202315",6,6,87
"8243906","202320",15,15,102
"8243906","202410",19,19,121
"8243906","202415",6,6,127
"8243906","202420",15,15,142
"8245801","202110",16,39,39
"8245801","202120",15,15,54
"8245801","202210",15,15,69
"8245801","202215",3,3,72
"8245801","202220",13,16,88
"8245801","202310",15,15,103
"8245801","202320",12,12,115
"8245801","202410",12,12,127
"8246329","202110",16,25,25
"8246329","202115",3,3,28
"8246329","202120",16,16,44
"8246329","202210",15,15,59
"8246329","202220",17,17,76
"8246329","202310",16,16,92
"8246329","202320",15,15,107
"8246329","202410",15,15,122
"8246329","202420",12,12,134
"8246688","202110",15,15,15
"8246688","202120",15,15,30
"8246688","202210",18,18,48
"8246688","202215",3,3,51
"8246688","202220",15,15,66
"8246688","202230",4,4,70
"8246688","202310",15,15,85
"8246688","202315",3,3,88
"8246688","202320",15,15,103
"8246688","202410",17,17,120
"8246688","202415",4,4,124
"8246688","202420",12,12,136
"8246861","202110",17,60,60
"8246861","202120",14,14,74
"8246861","202210",15,15,89
"8246861","202220",16,16,105
"8246861","202310",13,13,118
"8246861","202320",15,15,133
"8246861","202410",15,15,148
"8246861","202420",12,12,160
"8246891","202110",15,32,32
"8246891","202120",15,15,47
"8246891","202210",16,16,63
"8246891","202220",15,15,78
"8246891","202310",12,12,90
"8246891","202315",3,3,93
"8246891","202320",12,12,105
"8246891","202410",15,15,120
"8246891","202420",12,12,132
"8249408","202110",15,37,37
"8249408","202120",18,18,55
"8249408","202210",15,15,70
"8249408","202220",15,15,85
"8249408","202310",18,18,103
"8249408","202320",0,16,119
"8249408","202410",16,16,135
"8249408","202415",3,3,138
"8249408","202420",15,15,153
"8250961","202030",3,3,3
"8250961","202110",16,24,27
"8250961","202120",14,14,41
"8250961","202210",15,15,56
"8250961","202220",16,16,72
"8250961","202310",15,15,87
"8250961","202320",15,15,102
"8250961","202410",15,15,117
"8250961","202420",12,12,129
"8251247","202110",15,70,70
"8251247","202120",15,15,85
"8251247","202210",17,17,102
"8251247","202220",15,15,117
"8251247","202230",6,6,123
"8251247","202310",17,17,140
"8251247","202315",3,3,143
"8251247","202320",15,15,158
"8251247","202410",14,14,172
"8251247","202415",3,3,175
"8251247","202420",14,14,189
"8260919","202110",16,36,36
"8260919","202120",16,16,52
"8260919","202130",3,3,55
"8260919","202210",15,15,70
"8260919","202220",15,15,85
"8260919","202230",9,9,94
"8260919","202310",15,15,109
"8260919","202320",15,15,124
"8260919","202410",16,16,140
"8260919","202420",15,15,155
"8262583","202020",3,3,3
"8262583","202110",3,3,6
"8262583","202120",3,3,9
"8262583","202210",14,27,36
"8262583","202215",3,3,39
"8262583","202220",12,17,56
"8262583","202310",15,15,71
"8262583","202315",6,6,77
"8262583","202320",15,15,92
"8262583","202410",16.5,16.5,108.5
"8262583","202420",18,18,126.5
"8262583","202510",NA,NA,126.5
"8265341","202010",16,25,25
"8265341","202020",14,14,39
"8265341","202110",16,16,55
"8265341","202120",15,15,70
"8265341","202210",15,15,85
"8265341","202215",3,3,88
"8265341","202220",12,12,100
"8265341","202230",3,3,103
"8265341","202310",15,15,118
"8265341","202320",15,15,133
"8269664","202010",12,12,12
