"Student.ID","Term.Code","Degree.Type","Degree","Major","Student.Division.Code","Student.Department.Code","Semesters.to.Degree.Average","AW.-.Major.Count"
"8183142","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8185339","202520","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8185339","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8188789","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8189765","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8190053","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",6,1
"8190645","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8190732","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8193517","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194067","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194253","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8194253","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8194429","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8196411","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8197248","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8197334","202510","Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8201100","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8201100","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8201508","202520","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8201508","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8201904","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8203154","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8203154","202520","Bachelor","Bachelor of Arts in Theatre","Theatre","CCA","THE",8,1
"8203997","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8204070","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8204796","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8205621","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8205621","202520","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8205774","202515","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",7,1
"8207043","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8208211","202520","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8208211","202520","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8218558","202510","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",7,1
"8223835","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8226272","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8226272","202420","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8226542","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8230669","202420","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8230669","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8230735","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8230735","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8231350","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8231569","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8231842","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8232786","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8233515","202420","Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8233844","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8234195","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235359","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235554","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8235697","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8235926","202420","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8236079","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8237411","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8238330","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8238330","202420","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8239231","202420","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8239643","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8240060","202420","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8240157","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8242006","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8242443","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8243519","202420","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8243906","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8245801","202410","Bachelor","B.S. in Business","Information Systems","FSB","ISA",7,1
"8246329","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8246688","202420","Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8246861","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8246891","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8249408","202420","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8249408","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8250961","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8251247","202420","Bachelor","B.S. in Computer Science","Computer Science","CEC","CSE",8,1
"8260919","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8260919","202420","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8262583","202515","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",7,1
"8269664","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8270244","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8270285","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8271899","202320","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",8,1
"8272073","202320","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8272073","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8272715","202420","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8273135","202330","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8275281","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8275768","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8275990","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8278406","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8278735","202310","Bachelor","B.S. in Business","Analytics","*NSD","*NSD",7,1
"8278735","202310","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8279029","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8279045","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8279045","202320","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8279077","202320","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8279077","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8279722","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8280089","202420","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",10,1
"8280700","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8281486","202320","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8281486","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8281982","202320","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8282676","202320","Bachelor","B.S. in Business","Human Capital Mgmt& Leadership","FSB","MGT",8,1
"8282676","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8282692","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8283222","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8283222","202320","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8283990","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8283990","202320","Bachelor","BA Interactive Media Studies","Interactive Media Studies","CCA","IMS",8,1
"8284203","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8285702","202320","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8285798","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8286870","202320","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8287228","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8287451","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8288224","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8288743","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8288840","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8289212","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8289532","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8289532","202320","Bachelor","Bachelor of Arts","Spanish","CAS","SPN",8,1
"8289763","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8289912","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",6,1
"8290156","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8290344","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8290581","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8290744","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8291186","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8291384","202310","Bachelor","B.S. in Business","Accountancy","FSB","ACC",7,1
"8291384","202310","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8291683","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8291791","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8292025","202410","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8292442","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8293283","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",6,1
"8293553","202320","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8293553","202320","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8294324","202310","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8294574","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8295277","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8295511","202320","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8308960","202420","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8308960","202420","Bachelor","B.S. in Business","Information Systems","FSB","ISA",8,1
"8309047","202220","Bachelor","B.S. in Business","Business Analytics","FSB","ISA",8,1
"8309076","202230","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8309076","202230","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8311146","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8311225","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8315620","202310","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",9,1
"8316012","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8317382","202320","Bachelor","B.S. in Business","Information&Cybersec Mgt","FSB","ISA",10,1
"8317791","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8318800","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8319253","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8320580","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8323169","202320","Bachelor","B.S. in Business","Information Systems","FSB","ISA",6,1
"8324729","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8325776","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8326128","202220","Bachelor","Bachelor of Arts","Mathematics","CAS","MTH",8,1
"8327105","202220","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8327670","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8329475","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",6,1
"8329675","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8330331","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8330667","202220","Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8330667","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8331244","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8331618","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8331743","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333235","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333381","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333444","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333498","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8333498","202220","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8334152","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8334506","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8334898","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8335099","202220","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8335099","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336051","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336139","202220","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8336139","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336578","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336655","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336766","202220","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8336766","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8336795","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8338465","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8341458","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8351487","202220","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8354519","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8355890","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8357001","202230","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8364032","202120","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8365162","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8365422","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8366918","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8366918","202120","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8368121","202110","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8368925","202110","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",7,1
"8369263","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8369816","202120","Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8369816","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8370493","202120","Bachelor","B.S. in Business","Finance","FSB","FIN",8,1
"8371019","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8372734","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8372868","202120","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8372868","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8372995","202120","Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8372995","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8373123","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8373123","202120","Bachelor","B.S. in Business","Marketing","FSB","MKT",8,1
"8373893","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8373905","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8374059","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8377224","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8377378","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8378080","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8378080","202120","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8378360","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8379005","202120","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8379005","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8379300","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8379976","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8382476","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8382573","202120","Bachelor","BA in History of Art & Arch","Art & Architecture History","CCA","ART",8,1
"8382573","202120","Bachelor","BA in History of Art & Arch","Fashion","CCA","ART",8,1
"8383536","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",10,1
"8384327","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8384480","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8385582","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8385582","202120","Bachelor","B.S. in Business","Supply Chain & Operations Mgmt","FSB","MGT",8,1
"8385894","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8386138","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8386138","202120","Bachelor","B.S. in Business","Premedical Studies","CAS","*NSD",8,1
"8386140","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8386564","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8387041","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8387094","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8387197","202120","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8387197","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8387363","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8389050","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8389212","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8389477","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398087","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398165","202120","Bachelor","B.S. in Business","Accountancy","FSB","ACC",8,1
"8398165","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398303","202220","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398329","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8398877","202220","Bachelor","B.S. in Business","Business Economics","FSB","ECO",8,1
"8398877","202220","Bachelor","B.S. in Business","Entrepreneurship","FSB","ESP",8,1
"8401257","202120","Bachelor","B.S. in Business","Analytics","*NSD","*NSD",8,1
"8401257","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"8425267","202120","Bachelor","B.S. in Business","Information Systems &Analytics","FSB","ISA",8,1
"9885956","202210","Bachelor","B.S. in Business","Information Systems","FSB","ISA",1,1
"Rows 1 - 255 (All Rows)","202210","Bachelor","B.S. in Business",NA,NA,NA,NA,NA
